ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
209380_s_at	3.85e-02	6.46e-03	-2.7352114	-2.827133	-0.1998307	ABCC5	ATP binding cassette subfamily C member 5
222329_x_at	3.86e-02	6.47e-03	-2.7348575	-2.828065	-0.30597888		
50314_i_at	3.86e-02	6.47e-03	2.7346649	-2.828572	0.21274325	C20orf27	chromosome 20 open reading frame 27
221959_at	3.86e-02	6.48e-03	-2.7342037	-2.829786	-0.52740573	FAM110B	family with sequence similarity 110 member B
213380_x_at	3.86e-02	6.49e-03	-2.7339094	-2.830561	-0.17152012	LOC102724562///MST1L///MST1P2///MST1	macrophage stimulating 1 pseudogene///macrophage stimulating 1 like///macrophage stimulating 1 pseudogene 2///macrophage stimulating 1
212123_at	3.86e-02	6.49e-03	-2.7338859	-2.830623	-0.12204233	TCTN3	tectonic family member 3
219275_at	3.89e-02	6.53e-03	2.7315248	-2.836835	0.24766963	PDCD5	programmed cell death 5
201744_s_at	3.89e-02	6.54e-03	-2.731242	-2.837579	-0.82097499	LUM	lumican
210137_s_at	3.89e-02	6.54e-03	-2.7311927	-2.837708	-0.18112252	DCTD	dCMP deaminase
205260_s_at	3.90e-02	6.55e-03	2.7304091	-2.839769	0.32351379	ACYP1	acylphosphatase 1
212096_s_at	3.90e-02	6.56e-03	-2.7301259	-2.840513	-0.27516953	MTUS1	microtubule associated tumor suppressor 1
205358_at	3.90e-02	6.56e-03	-2.7300661	-2.84067	-0.69909599	GRIA2	glutamate ionotropic receptor AMPA type subunit 2
207857_at	3.91e-02	6.57e-03	-2.7293134	-2.842648	-0.36414537	LILRA2	leukocyte immunoglobulin like receptor A2
212077_at	3.91e-02	6.58e-03	2.7292382	-2.842846	0.47342885	CALD1	caldesmon 1
213227_at	3.91e-02	6.58e-03	-2.7291547	-2.843065	-0.26021718	PGRMC2	progesterone receptor membrane component 2
206857_s_at	3.91e-02	6.59e-03	-2.728696	-2.844271	-0.41421048	FKBP1B	FK506 binding protein 1B
215734_at	3.91e-02	6.59e-03	-2.7286141	-2.844486	-0.42091741	IZUMO4	IZUMO family member 4
217179_x_at	3.92e-02	6.60e-03	2.7280018	-2.846094	0.39796521	BMS1P20	BMS1, ribosome biogenesis factor pseudogene 20
212453_at	3.92e-02	6.60e-03	-2.7279876	-2.846131	-0.15452272	KIF1BP	KIF1 binding protein
202854_at	3.92e-02	6.61e-03	2.7277325	-2.846802	0.18568582	HPRT1	hypoxanthine phosphoribosyltransferase 1
216046_at	3.92e-02	6.61e-03	-2.7276345	-2.847059	-0.32153259		
219479_at	3.92e-02	6.61e-03	2.7273337	-2.847849	0.42880346	KDELC1	KDEL motif containing 1
218581_at	3.94e-02	6.64e-03	-2.7257874	-2.851908	-0.16088431	ABHD4	abhydrolase domain containing 4
204379_s_at	3.94e-02	6.65e-03	-2.7254621	-2.852762	-0.67104506	FGFR3	fibroblast growth factor receptor 3
